Date,USD_Index
1/24/2008,89.203
1/25/2008,89.2184
1/28/2008,88.9555
1/29/2008,88.8342
1/30/2008,88.7442
1/31/2008,88.6547
2/1/2008,88.4824
2/4/2008,88.4788
2/5/2008,89.076
2/6/2008,88.9987
2/7/2008,89.4221
2/8/2008,89.2226
2/11/2008,89.2149
2/12/2008,88.9539
2/13/2008,89.1382
2/14/2008,88.9055
2/15/2008,88.9006
2/18/2008,88.9004
2/19/2008,88.9626
2/20/2008,89.2572
2/21/2008,88.716
2/22/2008,88.7082
2/25/2008,88.5373
2/26/2008,88.0998
2/27/2008,87.3353
2/28/2008,87.0363
2/29/2008,87.1654
3/3/2008,87.2381
3/4/2008,87.3039
3/5/2008,87.1347
3/6/2008,86.9105
3/7/2008,87.1258
3/10/2008,87.1452
3/11/2008,87.1763
3/12/2008,86.728
3/13/2008,86.3891
3/14/2008,86.4301
3/17/2008,86.3417
3/18/2008,86.1191
3/19/2008,86.5755
3/20/2008,87.3293
3/21/2008,87.2111
3/24/2008,87.3103
3/25/2008,86.8339
3/26/2008,86.5513
3/27/2008,86.4583
3/28/2008,86.6369
3/31/2008,86.6881
4/1/2008,87.0276
4/2/2008,86.8886
4/3/2008,86.6424
4/4/2008,86.5108
4/7/2008,86.603
4/8/2008,86.7369
4/9/2008,86.5764
4/10/2008,86.5131
4/11/2008,86.5029
4/14/2008,86.3492
4/15/2008,86.4705
4/16/2008,85.9037
4/17/2008,86.1077
4/18/2008,86.5277
4/21/2008,86.2979
4/22/2008,85.927
4/23/2008,86.3841
4/24/2008,86.7154
4/25/2008,86.8337
4/28/2008,86.7635
4/29/2008,86.873
4/30/2008,86.8907
5/1/2008,87.1347
5/2/2008,87.2311
5/5/2008,87.0636
5/6/2008,86.847
5/7/2008,87.3421
5/8/2008,87.4575
5/9/2008,87.2528
5/12/2008,87.0403
5/13/2008,87.1332
5/14/2008,87.3659
5/15/2008,87.1823
5/16/2008,86.7855
5/19/2008,86.8225
5/20/2008,86.5627
5/21/2008,86.1595
5/22/2008,86.3223
5/23/2008,86.1922
5/26/2008,86.19
5/27/2008,86.4459
5/28/2008,86.4951
5/29/2008,86.5616
5/30/2008,86.5504
6/2/2008,86.6321
6/3/2008,86.8359
6/4/2008,87.0999
6/5/2008,87.0968
6/6/2008,86.8028
6/9/2008,86.9096
6/10/2008,87.4705
6/11/2008,87.2059
6/12/2008,87.6187
6/13/2008,87.7622
6/16/2008,87.3911
6/17/2008,87.2103
6/18/2008,87.1872
6/19/2008,87.0815
6/20/2008,86.9036
6/23/2008,87.2163
6/24/2008,86.9666
6/25/2008,87.0535
6/26/2008,86.6793
6/27/2008,86.643
6/30/2008,86.7621
7/1/2008,86.8447
7/2/2008,86.4782
7/3/2008,86.8843
7/4/2008,86.8781
7/7/2008,86.9617
7/8/2008,86.9778
7/9/2008,86.5335
7/10/2008,86.5122
7/11/2008,86.221
7/14/2008,86.1079
7/15/2008,85.8731
7/16/2008,85.9285
7/17/2008,85.9387
7/18/2008,86.0735
7/21/2008,86.0151
7/22/2008,86.1909
7/23/2008,86.2664
7/24/2008,86.4017
7/25/2008,86.3916
7/28/2008,86.4666
7/29/2008,86.8175
7/30/2008,86.8167
7/31/2008,86.8567
8/1/2008,86.8257
8/4/2008,87.0611
8/5/2008,87.3281
8/6/2008,87.6004
8/7/2008,87.8732
8/8/2008,88.8939
8/11/2008,89.035
8/12/2008,89.1916
8/13/2008,89.3211
8/14/2008,89.3675
8/15/2008,89.7244
8/18/2008,89.5966
8/19/2008,89.6465
8/20/2008,89.6977
8/21/2008,88.9128
8/22/2008,89.2381
8/25/2008,89.3094
8/26/2008,89.7007
8/27/2008,89.6419
8/28/2008,89.8225
8/29/2008,90.0567
9/1/2008,90.08
9/2/2008,90.8438
9/3/2008,90.8286
9/4/2008,91.1621
9/5/2008,91.341
9/8/2008,91.663
9/9/2008,91.5779
9/10/2008,92.1283
9/11/2008,92.4901
9/12/2008,91.4706
9/15/2008,91.757
9/16/2008,92.0594
9/17/2008,92.0982
9/18/2008,91.7111
9/19/2008,91.0014
9/22/2008,90.1119
9/23/2008,90.1221
9/24/2008,90.4602
9/25/2008,90.4651
9/26/2008,90.6872
9/29/2008,91.3961
9/30/2008,92.3773
10/1/2008,92.511
10/2/2008,93.3792
10/3/2008,93.5414
10/6/2008,95.1629
10/7/2008,95.4889
10/8/2008,96.9684
10/9/2008,96.5143
10/10/2008,97.999
10/13/2008,97.9686
10/14/2008,96.2544
10/15/2008,97.2045
10/16/2008,98.368
10/17/2008,97.7255
10/20/2008,98.1605
10/21/2008,99.4242
10/22/2008,101.2131
10/23/2008,101.1071
10/24/2008,101.8442
10/27/2008,102.3415
10/28/2008,102.4236
10/29/2008,100.0967
10/30/2008,99.4568
10/31/2008,99.7662
11/3/2008,99.4345
11/4/2008,97.9957
11/5/2008,98.0953
11/6/2008,99.5364
11/7/2008,99.3944
11/10/2008,99.5897
11/11/2008,99.6041
11/12/2008,101.1947
11/13/2008,101.774
11/14/2008,100.9705
11/17/2008,101.1029
11/18/2008,101.3965
11/19/2008,101.8804
11/20/2008,103.2737
11/21/2008,103.6289
11/24/2008,101.502
11/25/2008,100.7997
11/26/2008,101.2566
11/27/2008,101.2564
11/28/2008,101.6468
12/1/2008,102.1744
12/2/2008,101.9891
12/3/2008,102.4251
12/4/2008,102.0715
12/5/2008,103.4902
12/8/2008,101.7227
12/9/2008,101.7346
12/10/2008,101.2913
12/11/2008,99.5101
12/12/2008,100.319
12/15/2008,99.1001
12/16/2008,98.4771
12/17/2008,96.8227
12/18/2008,96.8447
12/19/2008,98.1278
12/22/2008,98.1643
12/23/2008,98.2698
12/24/2008,98.2249
12/25/2008,98.2419
12/26/2008,98.2594
12/29/2008,97.9359
12/30/2008,98.3833
12/31/2008,98.6518
1/1/2009,
1/2/2009,98.6008
1/5/2009,98.9195
1/6/2009,98.7871
1/7/2009,98.089
1/8/2009,98.3223
1/9/2009,98.8752
1/12/2009,99.6022
1/13/2009,100.3597
1/14/2009,100.7546
1/15/2009,101.4653
1/16/2009,100.711
1/19/2009,
1/20/2009,
1/21/2009,102.1007
1/22/2009,101.8432
1/23/2009,102.1096
1/26/2009,100.9764
1/27/2009,101.1702
1/28/2009,100.5461
1/29/2009,101.3398
1/30/2009,102.1169
2/2/2009,102.5067
2/3/2009,101.8506
2/4/2009,101.9056
2/5/2009,101.9517
2/6/2009,101.7455
2/9/2009,100.9637
2/10/2009,101.7094
2/11/2009,102.24
2/12/2009,102.598
2/13/2009,102.2958
2/16/2009,
2/17/2009,103.7625
2/18/2009,104.0385
2/19/2009,103.7656
2/20/2009,104.0244
2/23/2009,103.7416
2/24/2009,103.9829
2/25/2009,104.3086
2/26/2009,104.1813
2/27/2009,104.9284
3/2/2009,105.9617
3/3/2009,106.0249
3/4/2009,105.4558
3/5/2009,105.8064
3/6/2009,105.3937
3/9/2009,106.0182
3/10/2009,105.1153
3/11/2009,104.8499
3/12/2009,104.89
3/13/2009,104.1106
3/16/2009,103.2005
3/17/2009,103.2305
3/18/2009,103.0005
3/19/2009,100.3951
3/20/2009,101.0581
3/23/2009,101.103
3/24/2009,101.0319
3/25/2009,100.9674
3/26/2009,101.097
3/27/2009,101.8388
3/30/2009,102.749
3/31/2009,102.3761
4/1/2009,102.1252
4/2/2009,100.8733
4/3/2009,100.6429
4/6/2009,100.9428
4/7/2009,100.9808
4/8/2009,100.8948
4/9/2009,100.7988
4/10/2009,100.7597
4/13/2009,100.1369
4/14/2009,99.9097
4/15/2009,100.1497
4/16/2009,100.0517
4/17/2009,100.5719
4/20/2009,101.448
4/21/2009,101.1794
4/22/2009,101.1142
4/23/2009,101.0065
4/24/2009,100.0244
4/27/2009,100.7258
4/28/2009,101.3145
4/29/2009,100.0009
4/30/2009,100.1042
5/1/2009,100.0057
5/4/2009,99.134
